_id,avg_wage,employer,max_wage,min_wage,url,vacancy,wage
60505c14003094e6ac4350a7,null, J’JO,null,null,https://spb.hh.ru/vacancy/39874639,Digital Маркетолог FinTech,null
60505c14003094e6ac4350a8,52500, Группа компаний Интегро,60000,45000,https://spb.hh.ru/vacancy/42572441,Менеджер по маркетингу,45 000-60 000 руб.
60505c14003094e6ac4350a9,null, Консорциум Кодекс,null,null,https://spb.hh.ru/vacancy/42925854,Маркетолог / Product manager,null
60505c14003094e6ac4350aa,50000,ООО Стики Лайн,null,50000,https://spb.hh.ru/vacancy/42784022,Маркетолог в типографию,от 50 000 руб.
60505c14003094e6ac4350ab,null, Тенсар Инновэйтив Солюшнз,null,null,https://spb.hh.ru/vacancy/42678456,Специалист по маркетингу,null
60505c14003094e6ac4350ac,null,ООО Клен,null,null,https://spb.hh.ru/vacancy/42378483,Интернет-маркетолог,null
60505c14003094e6ac4350ad,null, АК-Сервис,null,null,https://spb.hh.ru/vacancy/41647938,Интернет-Маркетолог,null
60505c14003094e6ac4350ae,null, Свеза,null,null,https://spb.hh.ru/vacancy/42835937,Менеджер по маркетингу,null
60505c14003094e6ac4350af,65000,ООО СтройГлобал,100000,30000,https://spb.hh.ru/vacancy/42963066,Маркетолог,30 000-100 000 руб.
60505c14003094e6ac4350b0,55000, СВС Строй,null,55000,https://spb.hh.ru/vacancy/42919539,Маркетолог,от 55 000 руб.
60505c14003094e6ac4350b1,30000, NOVA GROUP,null,30000,https://spb.hh.ru/vacancy/42980161,SMM-маркетолог,от 30 000 руб.
60505c14003094e6ac4350b2,40000,ООО Мит Стар,null,40000,https://spb.hh.ru/vacancy/42987781,Специалист по рекламе и маркетингу,от 40 000 руб.
60505c14003094e6ac4350b3,null," УК, КераМир",null,null,https://spb.hh.ru/vacancy/42832322,Менеджер по маркетингу,null
60505c14003094e6ac4350b4,45000, ТД Форт,null,45000,https://spb.hh.ru/vacancy/43044437,Интернет-маркетолог,от 45 000 руб.
60505c14003094e6ac4350b5,null," Риалвеб, Интернет-агентство",null,null,https://spb.hh.ru/vacancy/42971202,Маркетолог,null
60505c14003094e6ac4350b6,60000,ООО Таксовичкоф,null,60000,https://spb.hh.ru/vacancy/42652858,Маркетолог-аналитик,от 60 000 руб.
60505c14003094e6ac4350b7,null, ANCOR,null,null,https://spb.hh.ru/vacancy/42808548,Специалист по маркетингу,null
60505c14003094e6ac4350b8,70000," АВТОграф, ТД",null,70000,https://spb.hh.ru/vacancy/42924331,Маркетолог,от 70 000 руб.
60505c14003094e6ac4350b9,80000,ООО Финансово-правовой альянс,null,80000,https://spb.hh.ru/vacancy/40490624,E-mail маркетолог,от 80 000 руб.
60505c14003094e6ac4350ba,65000,ООО Таксовичкоф,70000,60000,https://spb.hh.ru/vacancy/43041475,Digital-маркетолог,60 000-70 000 руб.
60505c14003094e6ac4350bb,60000,ООО ЕТелеком,null,60000,https://spb.hh.ru/vacancy/41540868,Менеджер по маркетингу,от 60 000 руб.
60505c14003094e6ac4350bc,null, Evercode Lab,null,null,https://spb.hh.ru/vacancy/43051693,Интернет-маркетолог,null
60505c14003094e6ac4350bd,null, Gabino,null,null,https://spb.hh.ru/vacancy/41764978,Маркетолог (Всеволожск),null
60505c14003094e6ac4350be,37500,ООО Эл-Куб,45000,30000,https://spb.hh.ru/vacancy/42836375,Маркетолог,30 000-45 000 руб.
60505c14003094e6ac4350bf,60000,АО Корпорация Оборонные технологии,60000,null,https://spb.hh.ru/vacancy/42527835,Маркетолог,до 60 000 руб.
60505c14003094e6ac4350c0,70000,ИП Komilfo,100000,40000,https://spb.hh.ru/vacancy/42969573,Маркетолог,40 000-100 000 руб.
60505c14003094e6ac4350c1,70000," Эльба Мебель, Федеральная сеть",null,70000,https://spb.hh.ru/vacancy/42592581,Менеджер по рекламе,от 70 000 руб.
60505c14003094e6ac4350c2,37500,ООО УК Коста,40000,35000,https://spb.hh.ru/vacancy/42922589,Менеджер по рекламе,35 000-40 000 руб.
60505c14003094e6ac4350c3,null, АРТ-КВАРТАЛ,null,null,https://spb.hh.ru/vacancy/42872183,Маркетолог,null
60505c14003094e6ac4350c4,null,ООО Смарт-Сервис,null,null,https://spb.hh.ru/vacancy/41800326,Руководитель отдела маркетинга/продуктовый маркетолог,null
60505c14003094e6ac4350c5,60000,АО МАК БРАЗЕРС,70000,50000,https://spb.hh.ru/vacancy/42516269,Маркетолог в оптический бизнес,50 000-70 000 руб.
60505c14003094e6ac4350c6,70000, ABA HR AGENCY,90000,50000,https://spb.hh.ru/vacancy/42717171,Маркетолог (косметика),50 000-90 000 руб.
60505c14003094e6ac4350c7,60000,ООО Станкопром,70000,50000,https://spb.hh.ru/vacancy/42649735,Контент-маркетолог,50 000-70 000 руб.
60505c14003094e6ac4350c8,null,ООО КАЗАНЬЭКСПРЕСС ФУЛФИЛМЕНТ,null,null,https://spb.hh.ru/vacancy/42389027,Менеджер по промо-маркетингу,null
60505c14003094e6ac4350c9,60000, Ассоциация Медицины и Аналитики,null,60000,https://spb.hh.ru/vacancy/42427809,Маркетолог,от 60 000 руб.
60505c14003094e6ac4350ca,null, CSBI,null,null,https://spb.hh.ru/vacancy/41078312,Интернет-маркетолог,null
60505c14003094e6ac4350cb,null," 585, Золотой",null,null,https://spb.hh.ru/vacancy/42881130,Трейд-маркетолог/Продакт-маркетолог,null
60505c14003094e6ac4350cc,50000, Группа компаний «МРТ»,null,50000,https://spb.hh.ru/vacancy/42768606,Интернет-маркетолог,от 50 000 руб.
60505c14003094e6ac4350cd,100000," Содружество, Группа компаний",100000,null,https://spb.hh.ru/vacancy/40988222,Маркетолог-аналитик,до 100 000 руб.
60505c14003094e6ac4350ce,60000, Такс-Он,null,60000,https://spb.hh.ru/vacancy/42542662,Маркетолог/Руководитель (Лидер) проектного офиса,от 60 000 руб.
60505c14003094e6ac4350cf,75000, IsraClub,120000,30000,https://spb.hh.ru/vacancy/42523266,Менеджер по маркетингу и рекламе,30 000-120 000 руб.
60505c14003094e6ac4350d0,50000, Лаборатория качества,50000,null,https://spb.hh.ru/vacancy/40666106,Маркетолог,до 50 000 руб.
60505c14003094e6ac4350d1,null,ООО КАЗАНЬЭКСПРЕСС ФУЛФИЛМЕНТ,null,null,https://spb.hh.ru/vacancy/42388670,Email-маркетолог,null
60505c14003094e6ac4350d2,40000,ООО Лиджио групп,null,40000,https://spb.hh.ru/vacancy/42425991,"Менеджер по маркетингу, рекламе и PR/Специалист по работе с блогерами",от 40 000 руб.
